code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
092780,동양피스톤,보통주,6010,1.16,143008,791,6.53,12,20171208,경기소비재,자동차 및 부품,자동차부품,500,13168460,6080,6120,5930,1080,3503,3648,18513,9.79,120,3,9.72
024900,덕양산업,보통주,1840,0,142955,599,-2.95,12,19970623,경기소비재,자동차 및 부품,자동차부품,500,32564980,1875,1920,1830,457,5063,13594,-8568,5.2,,-3.81,-26.33
001750,한양증권,보통주,9140,-1.2,142533,1163,4.69,12,19880304,금융,증권,증권,5000,12728534,8900,9270,8890,1533,18222,1091,29593,101.51,350,1.21,7.85
017800,현대엘리베이터,보통주,39700,-.76,141519,15959,38.3,12,19960703,산업재,자본재,기계,5000,40815191,40000,40050,39700,4876,25477,18725,136203,-.25,600,1.77,5.22
003550,LG,보통주,72200,-.42,139890,124586,12.02,12,19700213,산업재,자본재,복합 산업,5000,172557131,72400,72500,71500,12822,224346,65753,1024098,-15.08,2200,4.89,5.87
025860,남해화학,보통주,8170,-.86,138909,4059,25.27,12,19951110,소재,소재,화학,1000,49678843,8210,8250,8130,1226,5811,11872,15331,-4.47,60,2.84,3.74
011210,현대위아,보통주,42150,2.25,138688,11463,24.73,12,20110221,경기소비재,자동차 및 부품,자동차부품,5000,27195083,41200,41250,40450,4594,67743,73146,101934,-7.18,700,.8,1.8
058860,케이티아이에스,보통주,2470,-.4,136849,860,8.7,12,20101217,산업재,상업서비스,상업서비스,500,34802000,2475,2515,2440,499,3118,4510,13757,.04,90,3.4,5.6
014580,태경비케이,보통주,3580,.84,136046,987,29.43,12,19910307,소재,소재,건축소재,500,27583100,3510,3565,3495,468,3014,1864,3870,-12.31,100,3.3,3.08
267270,현대건설기계,보통주,29250,-2.05,135503,5762,182.52,12,20170510,산업재,자본재,기계,5000,19700793,30100,30750,29500,10026,31881,28521,157793,-11.81,,1.61,.26
002720,국제약품,보통주,9440,-1.06,135389,1737,-17.89,12,19751227,의료,제약 및 바이오,제약,1000,18400520,9950,9990,9530,2145,1346,1111,5571,3.2,,-3.65,-7.35
